trip_id,trip_property_id,value
62145524,note,Does not run during school vacation
62145524,trip_type,supplemental
62145525,note,Does not run during school vacation
62145525,trip_type,supplemental
62145527,note,Does not run during school vacation
62145527,trip_type,supplemental
62145567,note,Does not run during school vacation
62145567,trip_type,supplemental
62145622,note,Waits at Forest Hills for last Orange Line train
62145622,trip_type,wait
62145732,note,Does not run during school vacation
62145732,trip_type,supplemental
62146036,note,Does not run during school vacation
62146036,trip_type,supplemental
62146037,note,Does not run during school vacation
62146037,trip_type,supplemental
62146071,note,Does not run during school vacation
62146071,trip_type,supplemental
62146073,note,Does not run during school vacation
62146073,trip_type,supplemental
62146074,note,Does not run during school vacation
62146074,trip_type,supplemental
62146075,note,Does not run during school vacation
62146075,trip_type,supplemental
62146085,note,Does not run during school vacation
62146085,trip_type,supplemental
62146120,note,Does not run during school vacation
62146120,trip_type,supplemental
62146130,note,Waits at Forest Hills for last Orange Line train
62146130,trip_type,wait
62146138,note,Does not run during school vacation
62146138,trip_type,supplemental
62146139,note,Does not run during school vacation
62146139,trip_type,supplemental
62146172,note,Does not run during school vacation
62146172,trip_type,supplemental
62146173,note,Does not run during school vacation
62146173,trip_type,supplemental
62146237,note,Waits at Forest Hills for last Orange Line train
62146237,trip_type,wait
62146306,note,Does not run during school vacation
62146306,trip_type,supplemental
62146308,note,Does not run during school vacation
62146308,trip_type,supplemental
62147048,note,Waits at Ashmont for last Red Line train
62147048,note,Waits at Mattapan for last Mattapan Trolley train
62147048,trip_type,wait
62147286,note,Waits at Forest Hills for last Orange Line train
62147286,trip_type,wait
62147778,note,Waits at Ashmont for last Red Line train
62147778,trip_type,wait
62148035,note,Waits at Forest Hills for last Orange Line train
62148035,trip_type,wait
62148525,note,Waits at Forest Hills for last Orange Line train
62148525,trip_type,wait
62148624,note,Waits at Forest Hills for last Orange Line train
62148624,trip_type,wait
62157547,note,Waits at State for last Orange Line train
62157547,trip_type,wait
62157568,note,Waits at Government Center for last Green Line train
62157568,note,Waits at State for last Orange Line train
62157568,trip_type,wait
62157783,note,Waits at Government Center for last Green Line train
62157783,note,Waits at State for last Orange Line train
62157783,trip_type,wait
62157786,note,Waits at State for last Orange Line train
62157786,trip_type,wait
62158012,note,Waits at Government Center for last Green Line train
62158012,note,Waits at State for last Orange Line train
62158012,trip_type,wait
62158015,note,Waits at State for last Orange Line train
62158015,trip_type,wait
62203919,note,Waits at Maverick for last Blue Line train
62203919,trip_type,wait
62204023,note,Waits at Maverick for last Blue Line train
62204023,trip_type,wait
62204091,note,Waits at Wonderland for last Blue Line train
62204091,trip_type,wait
62205141,note,Waits at Maverick for last Blue Line train
62205141,trip_type,wait
62205228,note,Waits at Maverick for last Blue Line train
62205228,trip_type,wait
62205318,note,Waits at Wonderland for last Blue Line train
62205318,trip_type,wait
62207606,note,Waits at Maverick for last Blue Line train
62207606,trip_type,wait
62207682,note,Waits at Maverick for last Blue Line train
62207682,trip_type,wait
62207778,note,Waits at Wonderland for last Blue Line train
62207778,trip_type,wait
62213688,note,Waits at Maverick for last Blue Line train
62213688,trip_type,wait
62213867,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
62213867,trip_type,wait
62214101,note,Waits at Wonderland for last Blue Line train
62214101,trip_type,wait
62214307,note,Waits at Maverick for last Blue Line train
62214307,trip_type,wait
62216184,note,Waits at Maverick for last Blue Line train
62216184,trip_type,wait
62216363,note,Does not run during school vacation
62216363,trip_type,supplemental
62216364,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
62216364,trip_type,wait
62216367,note,Does not run during school vacation
62216367,trip_type,supplemental
62216368,note,Does not run during school vacation
62216368,trip_type,supplemental
62216369,note,Does not run during school vacation
62216369,trip_type,supplemental
62216392,note,Does not run during school vacation
62216392,trip_type,supplemental
62216393,note,Does not run during school vacation
62216393,trip_type,supplemental
62216394,note,Does not run during school vacation
62216394,trip_type,supplemental
62216395,note,Does not run during school vacation
62216395,trip_type,supplemental
62216411,note,Does not run during school vacation
62216411,trip_type,supplemental
62216412,note,Does not run during school vacation
62216412,trip_type,supplemental
62216414,note,Does not run during school vacation
62216414,trip_type,supplemental
62216432,note,Does not run during school vacation
62216432,trip_type,supplemental
62216434,note,Does not run during school vacation
62216434,trip_type,supplemental
62216435,note,Does not run during school vacation
62216435,trip_type,supplemental
62216471,note,Does not run during school vacation
62216471,trip_type,supplemental
62216487,note,Does not run during school vacation
62216487,trip_type,supplemental
62216613,note,Waits at Wonderland for last Blue Line train
62216613,trip_type,wait
62216721,note,Does not run during school vacation
62216721,trip_type,supplemental
62216820,note,Waits at Maverick for last Blue Line train
62216820,trip_type,wait
62216825,note,Does not run during school vacation
62216825,trip_type,supplemental
62216828,note,Does not run during school vacation
62216828,trip_type,supplemental
62216831,note,Does not run during school vacation
62216831,trip_type,supplemental
62216832,note,Does not run during school vacation
62216832,trip_type,supplemental
62220366,note,Waits at Orient Heights for last Blue Line train
62220366,trip_type,wait
62220639,note,Waits at Orient Heights for last Blue Line train
62220639,trip_type,wait
62220640,note,Will go to Point Shirley if requested
62248641,note,Waits at Government Center for last Green Line train
62248641,note,Waits at State for last Orange Line train
62248641,trip_type,wait
62248993,note,Waits at State for last Orange Line train
62248993,trip_type,wait
62706423,note,Waits at some downtown stations for connections
62706423,trip_type,wait
62706527,note,Waits at some downtown stations for connections
62706527,trip_type,wait
62707369,note,Waits at some downtown stations for connections
62707369,trip_type,wait
62709192,note,Waits at some downtown stations for connections
62709192,trip_type,wait
62709534,note,Waits at some downtown stations for connections
62709534,trip_type,wait
62709702,note,Waits at some downtown stations for connections
62709702,trip_type,wait
62709705,note,Waits at some downtown stations for connections
62709705,trip_type,wait
62709707,note,Waits at some downtown stations for connections
62709707,trip_type,wait
62709715,note,Waits at some downtown stations for connections
62709715,trip_type,wait
62709718,note,Waits at some downtown stations for connections
62709718,trip_type,wait
62709724,note,Waits at some downtown stations for connections
62709724,trip_type,wait
62857696,note,Waits at some downtown stations for connections
62857696,trip_type,wait
62857701,note,Waits at some downtown stations for connections
62857701,trip_type,wait
62857784,note,Waits at some downtown stations for connections
62857784,trip_type,wait
62857788,note,Waits at some downtown stations for connections
62857788,trip_type,wait
62857953,note,Waits at some downtown stations for connections
62857953,trip_type,wait
62857955,note,Waits at some downtown stations for connections
62857955,trip_type,wait
AMTKSchCh651157-633,note,Waits at Forest Hills for Train 839
AMTKSchCh651157-633,trip_type,wait
AMTKSchCh651156-635,note,Waits at Forest Hills for Train 841
AMTKSchCh651156-635,trip_type,wait
CR-649306-167,note,Waits at Salem for Train 127
CR-649306-167,trip_type,wait
CR-628066-067,note,Waits at Braintree for Train 031
CR-628066-067,trip_type,wait
CR-628498-2057,note,Waits at Braintree for Train 2021
CR-628498-2057,trip_type,wait
CR-628340-1057,note,Waits at Braintree for Train 1021
CR-628340-1057,trip_type,wait
